URI,contact, optional_comment
https://trefx.uk/5s-crate/0.4/, https://orcid.org/0000-0001-9842-9718, 5S CRATE profile
https://w3id.org/ro/wfrun/process/0.5, https://orcid.org/0000-0001-9842-9718, Process Run Crate
https://w3id.org/ro/wfrun/workflow/0.5, https://orcid.org/0000-0001-9842-9718, Workflow Run Crate
https://w3id.org/ro/wfrun/provenance/0.5, https://orcid.org/0000-0001-9842-9718, Provenance Run Crate
